case,x2,x3,x5,x7,x11,x13,x17,x19,x23,x29,r1,r2,r3,r4,r5
0,0.155260119,-0.524018254,-0.922738049,0.237489416,0.071938822,-0.974144859,0.857876606,0.640818563,-0.845417079,-0.095632101,-0.767021214,0.194888886,0.133675996,0.198074658,-0.252273947
0,-0.643892277,0.965363384,-0.821215765,0.092185593,-0.996854991,0.581233878,-0.901056435,0.912015578,-0.559905483,-0.066295543,0.927351584,0.530794615,0.651977828,-0.084932222,0.052754656
1,-0.22239456,0.90088449,0.222836851,-0.999999897,0.901277963,-0.622830856,0.900490275,0.223721296,0.221067413,-0.624958162,1.026037388,0.874800511,-0.953693112,-1.05753595,-0.0676707
1,0.147379625,0.534165663,0.91487341,-0.264498263,-0.028149545,0.984539381,-0.890702292,-0.580894374,0.792967259,0.20980654,-0.424082349,-0.134404857,-0.488730694,-0.789080091,-0.756755918
0,-0.928295497,0.540886673,-0.814858417,0.971972125,0.865489067,-0.617162931,0.096704644,-0.459871043,-0.945731334,0.688031468,1.38235349,1.038155592,-0.35351595,0.296122517,1.164057238
0,0.971510469,0.936280292,0.82636014,0.669354764,0.252045548,0.015519595,-0.446657773,-0.645974756,-0.924927951,-0.946730591,-0.002690331,0.375421844,-0.910444304,-0.06632747,0.387549516
1,0.309397098,-0.308446746,-0.999999501,-0.310347141,0.810307166,-0.30654512,-0.312246296,0.806779311,-0.304642269,0.805596909,-0.65123977,-0.382567296,2.139471201,0.686143115,-0.70921237
1,-0.310861655,0.951951821,-0.00485049,-0.948936159,0.579118833,-0.954877896,0.945831193,-0.602596312,0.957714109,0.610309695,0.809752435,0.011732163,-0.20820401,1.226082167,1.73506039
0,0.837225827,-0.646423442,-0.123961839,0.438855335,0.999170245,0.814258389,-0.204312481,-0.706377432,-0.932044006,0.510532681,0.349650691,0.656098525,0.890952925,1.397928369,1.127277252
0,-0.421802616,-0.991267792,0.29855971,0.739401258,0.038674812,0.889696206,-0.223900022,0.978110417,-0.470902014,-0.685151518,0.859556712,-0.524902672,-0.452216875,-0.549247649,0.106639145
